Record_Type,Timestamp,Invoice_No_,Staff,Settled_By,Total_Sales,Total_Discount,Percentage,Reason,Area,Items
Detail,2024-10-12 19:34:43.000000 UTC,11351,Multiple,,4650.0,697.59999999999991,15.002150537634405,,Zomato,"Fried Rice (Veg),Three Treasure Vegetables In Choice Of Sauce"
Detail,2024-10-03 14:26:16.000000 UTC,10806,Multiple,,5220.0,783.3,15.005747126436782,,Zomato,"Garlic Naan,Kung Pao Patato,Paneer Lawabdar"
Detail,2024-10-06 21:35:40.000000 UTC,11029,Multiple,,3120.0,468.2,15.006410256410257,,Zomato,"Hot Pot Rice (Veg),Kung Pao Patato"
Detail,2024-10-06 13:35:54.000000 UTC,10981,Multiple,sachindra (sachindra),2855.0,428.3,15.001751313485114,nan,Zomato,"Chatpata Paneer,Garlic Naan,Peshawari Kofta,Roti"
Detail,2024-10-06 20:36:35.000000 UTC,11019,Multiple,vijay (vijay shetty),1760.0,264.1,15.00568181818182,nan,Zomato,"Roti,Subzi Kurkure Kebab,Subzi Lahori"
Detail,2024-10-08 19:06:22.000000 UTC,11114,Multiple,sachindra (sachindra),3585.0,537.8,15.001394700139468,nan,Zomato,"Amritsari Dal,Avadhi Chicken,Lacchedar Paratha/Naan,Roomali Roti"
Detail,2024-10-03 21:18:08.000000 UTC,10821,Multiple,vijay (vijay shetty),2355.0,353.3,15.002123142250531,nan,Zomato,"Fried Rice (Chicken),Kung Pao Chicken"
Detail,2024-10-15 19:34:00.000000 UTC,11573,Multiple,vijay (vijay shetty),3915.0,587.4,15.003831417624522,nan,Zomato,"Burnt Garlic Rice (Chicken),Chicken Kebabs (Chicken Sheekh),Murg Makhanwala,Wonton (Chicken)"
Detail,2024-10-04 20:43:12.000000 UTC,10866,Multiple,vijay (vijay shetty),1590.0,238.5,15.0,nan,Zomato,Kung Pao Patato
Detail,2024-10-13 12:54:03.000000 UTC,11420,Multiple,sachindra (sachindra),1590.0,238.5,15.0,nan,Zomato,Navratan Pulao
Detail,2024-10-08 14:31:13.000000 UTC,11105,Multiple,sachindra (sachindra),5025.0,753.99999999999989,15.004975124378106,nan,Zomato,"Amritsari Dal,Dal Tadka,Methi Chicken,Murg Tikka Nawabi,Paneer Lawabdar,Subzi Lahori"
Detail,2024-10-13 19:58:15.000000 UTC,11469,Multiple,vijay (vijay shetty),2190.0,328.6,15.004566210045661,nan,Zomato,"Butter Roomali Roti,Butter Roti,Chicken Kebabs (Murg Lalwari),Murg Makhanwala"
Detail,2024-10-07 19:51:41.000000 UTC,11073,Multiple,vijay (vijay shetty),1770.0,265.6,15.005649717514126,nan,Zomato,"Amritsari Dal,Butter Roti,Stuffed Kulcha,Subzi Lahori"
Detail,2024-10-06 12:10:50.000000 UTC,10971,Multiple,sachindra (sachindra),1530.0,229.5,15.0,nan,Zomato,Futchi Rice (Chicken)
Detail,2024-10-06 23:47:12.000000 UTC,11053,Multiple,vijay (vijay shetty),1780.0,267.1,15.005617977528091,nan,Zomato,"Butter Baby Kulcha,Butter Roomali Roti,Jeera Rice,Paneer Lawabdar"
Detail,2024-10-15 20:49:18.000000 UTC,11579,Multiple,vijay (vijay shetty),2485.0,372.90000000000003,15.006036217303823,nan,Zomato,"Butter Roomali Roti,Cheese & Garlic Naan,Dal Tadka,Jeera Rice,Peshawari Kofta"
Detail,2024-10-07 19:10:14.000000 UTC,11068,Multiple,vijay (vijay shetty),1850.0,277.6,15.005405405405407,nan,Zomato,"Mushroom Galauti,Naan,Paneer Lawabdar"
Detail,2024-10-14 20:26:08.000000 UTC,11545,Multiple,vijay (vijay shetty),1965.0,294.90000000000003,15.007633587786261,nan,Zomato,"Amritsari Dal,Paneer Lawabdar,Roomali Roti,Roti,Stuffed Kulcha"
Detail,2024-10-06 13:39:56.000000 UTC,10982,Multiple,sachindra (sachindra),3450.0,517.7,15.005797101449277,nan,Zomato,"Cheese & Garlic Naan,Paneer Lawabdar,Paratha Stuffed,Phalguni Sabzi,Roti,Subzi Sunheri"
Detail,2024-10-15 19:19:41.000000 UTC,11572,Multiple,vijay (vijay shetty),2485.0,372.8,15.002012072434608,nan,Zomato,"Naan,Tandoori Platter (Non-Veg)"
Detail,2024-10-03 19:13:03.000000 UTC,10811,Multiple,vijay (vijay shetty),2675.0,401.5,15.009345794392523,nan,Zomato,"Amritsari Dal,Bhara Hua Aloo,Butter Roti,Garlic Naan,Plain Kulcha,Subzi Sunheri"
Detail,2024-10-16 19:56:56.000000 UTC,11648,Multiple,sachindra (sachindra),1740.0,261.1,15.005747126436784,nan,Zomato,"Garlic Naan,Hara Bhara Kabab,Paneer Lawabdar"
Detail,2024-10-10 12:19:03.000000 UTC,11191,Multiple,sachindra (sachindra),2710.0,406.7,15.007380073800737,nan,Zomato,"Butter Roomali Roti,Mushroom Galauti,Paneer Ke Shikanje,Phalguni Sabzi,Roomali Roti"
Detail,2024-10-08 19:59:28.000000 UTC,11119,Multiple,sachindra (sachindra),2750.0,412.8,15.010909090909092,nan,Zomato,"Amritsari Dal,Diwani Handi,Garlic Naan,Paneer Lawabdar,Paratha Plain,Plain Kulcha,Roti"
Detail,2024-10-13 12:28:50.000000 UTC,11419,Multiple,sachindra (sachindra),1625.0,243.8,15.003076923076923,nan,Zomato,"Appam (2pc),Seafood Dum Biryani"
Detail,2024-10-03 12:19:27.000000 UTC,10803,Multiple,sachindra (sachindra),2565.0,384.90000000000003,15.005847953216374,nan,Zomato,"Jeera Rice,Malabari Paratha (1pc),Mirchi Ka Salan,Phalguni Sabzi"
Detail,2024-10-12 19:36:51.000000 UTC,11352,Multiple,vijay (vijay shetty),1925.0,288.9,15.007792207792205,nan,Zomato,"Burnt Garlic Rice (Veg),Chicken Hunan,Manchow Soup (Chicken)"
Detail,2024-10-13 19:31:08.000000 UTC,11457,Multiple,vijay (vijay shetty),1845.0,276.9,15.008130081300811,nan,Zomato,"Amritsari Dal,Jeera Rice,Paneer Baby Corn Water Chesnut Brocoli In Sambal Sauce"
Detail,2024-10-06 21:02:00.000000 UTC,11023,Multiple,vijay (vijay shetty),1575.0,236.39999999999998,15.009523809523808,nan,Zomato,"Bukhara Kofta Curry,Jeera Rice,Roti"
Detail,2024-10-13 19:58:45.000000 UTC,11470,Multiple,vijay (vijay shetty),3150.0,472.7,15.006349206349206,nan,Zomato,"Chilly Crispy Patato,Exotic Hot Pot Vegtable,Pepper Blast Paneer,Schezwan Fried Rice (Veg)"
Detail,2024-10-11 20:07:53.000000 UTC,11256,Multiple,sachindra (sachindra),3180.0,477.2,15.0062893081761,nan,Zomato,"Avadhi Chicken,Kung Pao Chicken,Water Chesnut In Sambal Sauce,Zafrani Chicken"
Detail,2024-10-13 12:25:02.000000 UTC,11418,Multiple,sachindra (sachindra),1590.0,238.6,15.0062893081761,nan,Zomato,"Crispy Corn,Kung Pao Patato"
Detail,2024-10-08 19:28:47.000000 UTC,11116,Multiple,sachindra (sachindra),3150.0,472.7,15.006349206349206,nan,Zomato,"Burnt Garlic Rice (Veg),Dum Pukht Biryani (Veg),Exotic Hot Pot Vegtable,Pepper Blast Paneer"
Detail,2024-10-15 21:04:31.000000 UTC,11584,Multiple,vijay (vijay shetty),2325.0,348.9,15.006451612903225,nan,Zomato,"Futchi Rice (Chicken),Stir Fried Chicken Chilly & Basil,Wonton (Chicken)"
Detail,2024-10-12 19:19:41.000000 UTC,11347,Multiple,vijay (vijay shetty),1590.0,238.6,15.0062893081761,nan,Zomato,"Dum Pukht Biryani (Veg),Paneer Ke Shikanje"
Detail,2024-10-12 14:17:49.000000 UTC,11322,Multiple,sachindra (sachindra),2355.0,353.4,15.006369426751592,nan,Zomato,"Burnt Garlic Rice (Veg),Cottage Cheese & Mushroom In Black Bean Sauce,Murg Makhanwala"
Detail,2024-10-05 14:11:00.000000 UTC,10905,Multiple,sachindra (sachindra),1590.0,238.6,15.0062893081761,nan,Zomato,"Crispy Spinach Paneer,Subzi Lahori"
Detail,2024-10-17 12:12:53.000000 UTC,11682,Multiple,sachindra (sachindra),2445.0,366.9,15.006134969325153,nan,Zomato,"Chicken Kebabs (Chicken Reshmi),Chicken Tikka (Pahadi),Mutton Kebabs (Gilafi Sheekh)"
Detail,2024-10-12 19:50:17.000000 UTC,11355,Multiple,vijay (vijay shetty),3120.0,468.2,15.006410256410257,nan,Zomato,"Burnt Garlic Rice (Veg),Cottage Cheese & Mushroom In Black Bean Sauce,Fried Rice (Veg),Three Treasure Vegetables In Choice Of Sauce"
Detail,2024-10-13 19:02:07.000000 UTC,11452,Multiple,vijay (vijay shetty),1560.0,234.1,15.006410256410257,nan,Zomato,"Crispy Spinach Paneer,Futchi Rice (Veg)"
Detail,2024-10-13 12:14:37.000000 UTC,11415,Multiple,sachindra (sachindra),4780.0,717.2,15.00418410041841,nan,Zomato,"Crispy Corn,Paneer Saffron Tikka,Tandoori Pompfret (400 Gms),Tandoori Prawns (Regular)"
Detail,2024-10-13 12:05:56.000000 UTC,11414,Multiple,sachindra (sachindra),1590.0,238.6,15.0062893081761,nan,Zomato,"Peshawari Kofta,Subzi Lahori"
Detail,2024-10-03 19:45:45.000000 UTC,10813,Multiple,vijay (vijay shetty),1590.0,238.6,15.0062893081761,nan,Zomato,"Chicken Tikka (Pahadi),Hara Bhara Kabab"
Detail,2024-10-13 12:24:24.000000 UTC,11417,Multiple,sachindra (sachindra),1590.0,238.6,15.0062893081761,nan,Zomato,"Diwani Handi,Dum Pukht Biryani (Veg)"
Detail,2024-10-06 13:23:16.000000 UTC,10980,Multiple,sachindra (sachindra),2385.0,357.9,15.0062893081761,nan,Zomato,"Crispy Spinach Paneer,Dum Pukht Biryani (Chicken),Phalguni Sabzi"
Detail,2024-10-06 19:39:09.000000 UTC,11004,Multiple,vijay (vijay shetty),2385.0,357.9,15.0062893081761,nan,Zomato,"Bhara Hua Aloo,Dum Pukht Biryani (Veg),Paneer Saffron Tikka"
Detail,2024-10-04 13:31:52.000000 UTC,10852,Multiple,sachindra (sachindra),2355.0,353.4,15.006369426751592,nan,Zomato,"Kung Pao Patato,Mushroom Babycorn In Red Chilli Flakes,Spicy Lime Noodles (Veg)"
Detail,2024-10-15 20:11:39.000000 UTC,11577,Multiple,vijay (vijay shetty),1590.0,238.6,15.0062893081761,nan,Zomato,"Paneer Ke Shikanje,Paneer Lawabdar"
Detail,2024-10-12 13:40:09.000000 UTC,11315,Multiple,sachindra (sachindra),1685.0,252.9,15.008902077151335,nan,Zomato,"Avadhi Chicken,Butter Roti,Dum Pukht Biryani (Chicken)"
Detail,2024-10-14 19:07:03.000000 UTC,11541,Multiple,vijay (vijay shetty),3585.0,537.90000000000009,15.004184100418412,nan,Zomato,"Murgh Tikhalaal,Mutton Kebabs (Lucknowi Sheekh),Tandoori Pompfret (400 Gms)"
Detail,2024-10-06 20:55:01.000000 UTC,11020,Multiple,vijay (vijay shetty),2325.0,348.9,15.006451612903225,nan,Zomato,"Exotic Hot Pot Vegtable,Fried Rice (Veg),Schezwan Noodles (Veg)"
Detail,2024-10-03 20:09:42.000000 UTC,10815,Multiple,vijay (vijay shetty),1560.0,234.1,15.006410256410257,nan,Zomato,"Fried Rice (Veg),Subzi Lahori"
Detail,2024-10-15 19:49:00.000000 UTC,11575,Multiple,vijay (vijay shetty),1620.0,243.10000000000002,15.006172839506174,nan,Zomato,"Fried Rice (Chicken),Roast Lamb In Hongkong Style"
Detail,2024-10-03 13:03:18.000000 UTC,10804,Multiple,sachindra (sachindra),2385.0,357.8,15.0020964360587,nan,Zomato,Phalguni Sabzi
Summary,,,Multiple,,132060.0,19816.099999999937,15.005376344085974,,Zomato,