Raw_Material,DayOfWeek,Unit,Total_Amount_Past_30days,Avg_Quantity_Current_Month,Avg_Quantity_Previous_Three_Months,Quantity_Change,PercentageChange
Fresh Mushroom,Thursday,Kg,3150.4,4.3999999999999995,3.571428571428572,0.8285714285714274,23.2
Chat Masala,Saturday,PKT,3150.0,20.0,25.0,-5.0,-20.0
Chat Masala,Thursday,PKT,3150.0,20.0,20.0,0.0,0.0
Cucumber,Wednesday,Kg,3150.0,18.0,16.615384615384617,1.3846153846153832,8.33
Lemon,Saturday,Kg,3150.0,10.5,9.461538461538463,1.0384615384615365,10.98
Aquafina Water 500 Ml,Tuesday,BTL,3120.0,480.0,480.0,0.0,0.0
Broccoli,Saturday,Kg,3120.0,4.0,2.923076923076923,1.076923076923077,36.84
Perrier Carbonated Water,Friday,BTL,3083.472,24.0,24.0,0.0,0.0
Dukes Soda,Monday,BTL,3072.001,192.0,144.0,48.0,33.33
Green Elaichi,Saturday,Kg,3045.0,0.5,0.5,0.0,0.0
Broccoli,Thursday,Kg,3022.5,3.1,2.5,0.6000000000000001,24.0
Vanilla Md Ice Cream,Saturday,LTR,3020.232,8.0,5.6,2.4000000000000004,42.86
Cucumber,Sunday,Kg,3010.0,21.5,21.307692307692314,0.1923076923076863,0.9
Fresh Mushroom,Monday,Kg,3007.2,4.2,4.707692307692308,-0.5076923076923077,-10.78
Chilli Pickle,Saturday,Kg,3000.0,10.0,7.5,2.5,33.33
Mutton Big Raan,Tuesday,Kg,3000.0,5.0,10.45,-5.449999999999999,-52.15
Staff Veg,Thursday,Kg,3000.0,15.0,16.07142857142857,-1.0714285714285694,-6.67
Ness Coffee,Tuesday,PKT,2980.98,2.0,2.75,-0.75,-27.27
Potato,Saturday,Kg,2964.0,19.5,17.92307692307692,1.5769230769230802,8.8
Cheese Mozzarella,Saturday,Kg,2956.8,6.0,3.8,2.2,57.89
Garbage Bags,Friday,Kg,2950.0,25.0,24.166666666666668,0.8333333333333321,3.45
Garbage Bags,Sunday,Kg,2950.0,25.0,25.0,0.0,0.0
Garbage Bags,Tuesday,Kg,2950.0,25.0,25.0,0.0,0.0
Ice,Wednesday,Kg,2940.0,84.0,78.75,5.25,6.67
Jeera Whole,Saturday,Kg,2940.0,4.0,6.0,-2.0,-33.33
Jeera Whole,Thursday,Kg,2940.0,8.0,5.5,2.5,45.45
Sweet Lemon,Monday,Kg,2920.0,18.25,5.533333333333333,12.716666666666667,229.82
Cheese Mozzarella,Tuesday,Kg,2909.76,6.0,4.0,2.0,50.0
Cucumber,Thursday,Kg,2905.0,20.75,14.928571428571429,5.821428571428571,39.0
Ice,Saturday,Kg,2905.0,103.75,94.33333333333333,9.416666666666671,9.98
Cream Cheese,Wednesday,Kg,2895.292,4.0,4.0,0.0,0.0
Cream Cheese,Tuesday,Kg,2890.764,4.0,1.5,2.5,166.67
Sheera Rava,Wednesday,Kg,2880.0,12.0,9.583333333333332,2.416666666666668,25.22
Fresh Beans,Monday,Kg,2844.0,9.875,14.192307692307692,-4.317307692307692,-30.42
Salt Tata,Thursday,PKT,2800.0,50.0,50.0,0.0,0.0
Chicken Supreme,Sunday,Kg,2790.0,3.0,4.166666666666667,-1.166666666666667,-28.0
Lemon,Wednesday,Kg,2775.0,7.4,7.708333333333334,-0.30833333333333357,-4.0
Chicken Supreme,Friday,Kg,2770.0,2.25,2.8,-0.5499999999999998,-19.64
Cling Foil,Friday,ROLL,2761.2,6.0,4.5,1.5,33.33
Cling Foil,Tuesday,ROLL,2761.2,6.0,6.0,0.0,0.0
Thums Up,Friday,BTL,2750.004,120.0,80.0,40.0,50.0
Medium Prawns,Tuesday,Kg,2750.0,2.5,5.0,-2.5,-50.0
Pomfret,Monday,Kg,2750.0,2.2,4.3,-2.0999999999999996,-48.84
Ice,Sunday,Kg,2730.0,97.5,89.58333333333334,7.916666666666657,8.84
Bombay Sapphire,Saturday,BTL,2716.19,1.0,1.0,0.0,0.0
Potato,Monday,Kg,2698.0,17.75,17.923076923076927,-0.1730769230769269,-0.97
Red Bull,Friday,CAN,2686.968,24.0,24.0,0.0,0.0
Wafer Potatos,Thursday,Kg,2668.0,19.333333333333332,13.692307692307692,5.6410256410256405,41.2
Pineapple Fruit,Friday,Kg,2664.0,5.55,5.6,-0.04999999999999982,-0.89
Lemon,Friday,Kg,2662.5,8.875,8.961538461538462,-0.08653846153846168,-0.97
Lemon,Thursday,Kg,2662.5,7.1,5.642857142857143,1.4571428571428564,25.82
Kashmiri Chilli Powder,Wednesday,PKT,2660.7219999999998,2.5,3.0,-0.5,-16.67
Butter Croissant Small,Friday,PCS,2656.5,55.0,60.0,-5.0,-8.33
Fresh Mushroom,Saturday,Kg,2649.2,3.7,4.016666666666666,-0.31666666666666554,-7.88
White Pepper Powder,Wednesday,Kg,2640.0,2.2,2.1250000000000004,0.07499999999999973,3.53
Nutella Sauce,Saturday,Kg,2591.28,3.0,3.0,0.0,0.0
Nutella Sauce,Wednesday,Kg,2591.28,3.0,3.0,0.0,0.0
Potato,Friday,Kg,2584.0,17.0,17.461538461538463,-0.46153846153846345,-2.64
Pineapple Fruit,Wednesday,Kg,2580.0,5.375,6.473076923076922,-1.0980769230769223,-16.96
Besan,Wednesday,Kg,2560.0,10.0,10.0,0.0,0.0
Water Melon,Monday,Kg,2560.0,16.0,10.233333333333334,5.766666666666666,56.35
Irish Whisky Jameson Triple Distilled,Friday,BTL,2555.63,1.0,1.6666666666666667,-0.6666666666666667,-40.0
Lemon,Monday,Kg,2550.0,8.5,9.76923076923077,-1.26923076923077,-12.99
Eggs,Friday,PCS,2540.0,200.0,134.99999999999997,65.00000000000003,48.15
Coffee Cup 350 Ml,Tuesday,PCS,2537.0,500.0,2000.0,-1500.0,-75.0
Broccoli,Sunday,Kg,2535.0,3.25,3.4615384615384612,-0.21153846153846123,-6.11
Coriander Leaves,Thursday,Kg,2520.0,7.0,6.428571428571429,0.5714285714285712,8.89
Diet Coke,Monday,CAN,2520.0,72.0,48.0,24.0,50.0
Ice,Friday,Kg,2520.0,90.0,84.61538461538461,5.384615384615387,6.36
Peel Garlic,Friday,Kg,2520.0,7.0,12.200000000000001,-5.200000000000001,-42.62
Chicken Supreme,Wednesday,Kg,2480.0,4.0,3.3333333333333335,0.6666666666666665,20.0
Malai Kulfi,Sunday,PCS,2478.0,35.0,26.0,9.0,34.62
Wafer Potatos,Wednesday,Kg,2478.0,10.6,9.600000000000001,0.9999999999999982,10.42
Amul Cream,Sunday,PKT,2460.0,12.0,15.0,-3.0,-20.0
Amul Cream,Thursday,PKT,2460.0,12.0,12.0,0.0,0.0
Amul Cream,Wednesday,PKT,2460.0,12.0,12.0,0.0,0.0
Ice,Tuesday,Kg,2450.0,87.5,75.76923076923077,11.730769230769226,15.48
Coffee Cups 250 Ml,Tuesday,PCS,2419.0,500.0,2000.0,-1500.0,-75.0
Butter Croissant Small,Tuesday,PCS,2415.0,100.0,91.25,8.75,9.59
Ginger Ale,Saturday,CAN,2405.5969999999998,24.0,24.0,0.0,0.0
Carrots,Friday,Kg,2400.0,15.0,13.769230769230768,1.2307692307692317,8.94
Chawli Dal,Wednesday,Kg,2400.0,5.0,5.0,0.0,0.0
Staff Veg,Friday,Kg,2400.0,15.0,15.0,0.0,0.0
Staff Veg,Monday,Kg,2400.0,15.0,14.615384615384615,0.384615384615385,2.63
Staff Veg,Saturday,Kg,2400.0,15.0,15.0,0.0,0.0
Staff Veg,Sunday,Kg,2400.0,15.0,14.615384615384615,0.384615384615385,2.63
Staff Veg,Tuesday,Kg,2400.0,15.0,15.0,0.0,0.0
Swa Hazelnut Syrup,Monday,BTL,2399.04,6.0,2.0,4.0,200.0
Swa Jamun Kala Khatta Syrup,Monday,BTL,2399.04,6.0,2.0,4.0,200.0
Soya Sauce Llk,Friday,BTL,2391.516,12.0,9.0,3.0,33.33
Soya Sauce Llk,Saturday,BTL,2391.516,12.0,12.0,0.0,0.0
Soya Sauce Llk,Tuesday,BTL,2391.516,12.0,9.0,3.0,33.33
Carrots,Sunday,Kg,2380.0,14.875,13.653846153846155,1.221153846153845,8.94
Cucumber,Saturday,Kg,2380.0,17.0,16.53846153846154,0.4615384615384599,2.79
Ice,Monday,Kg,2380.0,85.0,79.64285714285714,5.357142857142861,6.73
Wafer Potatos,Saturday,Kg,2372.0,12.75,15.23076923076923,-2.48076923076923,-16.29
Blue Curacao Syrup,Thursday,BTL,2368.26,3.0,6.0,-3.0,-50.0
Mojito Mint Syrup,Thursday,BTL,2368.26,3.0,6.0,-3.0,-50.0
Chat Masala,Wednesday,PKT,2362.5,30.0,20.0,10.0,50.0
Pineapple Fruit,Sunday,Kg,2352.0,6.533333333333333,5.461538461538462,1.0717948717948715,19.62
Coconut Big,Wednesday,PCS,2345.0,16.75,20.714285714285715,-3.9642857142857153,-19.14
Cling Foil,Thursday,ROLL,2301.0,5.0,5.0,0.0,0.0
Carrots,Wednesday,Kg,2300.0,11.5,12.500000000000002,-1.0000000000000018,-8.0
Carrots,Saturday,Kg,2280.0,14.25,13.423076923076923,0.8269230769230766,6.16
Garlic Whole,Sunday,Kg,2280.0,3.0,3.8333333333333335,-0.8333333333333335,-21.74
Eggs,Saturday,PCS,2275.0,175.0,155.55555555555554,19.444444444444457,12.5
Coriander Leaves,Saturday,Kg,2268.0,7.875,7.6923076923076925,0.1826923076923075,2.37
Haldi Powder,Thursday,Kg,2268.0,4.0,3.6,0.3999999999999999,11.11
Small Crab Whole,Sunday,Kg,2255.0,8.2,5.1,3.0999999999999996,60.78
Almond Milk,Saturday,PKT,2250.0,30.0,30.0,0.0,0.0
Almond Milk,Sunday,PKT,2250.0,30.0,25.5,4.5,17.65
Almond Milk,Tuesday,PKT,2250.0,30.0,30.0,0.0,0.0
Kitchen King,Friday,PKT,2238.96,6.0,5.0,1.0,20.0
Kitchen King,Sunday,PKT,2238.96,6.0,4.666666666666667,1.333333333333333,28.57
Carrots,Thursday,Kg,2220.0,11.1,11.464285714285712,-0.3642857142857121,-3.18
Eggs,Thursday,PCS,2215.0,175.0,138.88888888888889,36.111111111111114,26.0
Coffee Cup Lid 350 Ml,Tuesday,PCS,2212.0,500.0,2000.0,-1500.0,-75.0
Rich Whip Topping Cream,Saturday,PKT,2208.487,2.5,3.5,-1.0,-28.57
Jeera Whole,Wednesday,Kg,2205.0,6.0,7.0,-1.0,-14.29
Thums Up,Sunday,BTL,2200.003,96.0,48.0,48.0,100.0
Fresh Milk (tabela),Thursday,LTR,2190.0,15.0,10.0,5.0,50.0
Carrots,Monday,Kg,2180.0,13.625,15.461538461538462,-1.8365384615384617,-11.88
Apple,Wednesday,Kg,2178.0,2.42,2.0416666666666665,0.3783333333333334,18.53
Cream Cheese,Sunday,Kg,2171.469,3.0,5.0,-2.0,-40.0
Cucumber,Friday,Kg,2170.0,15.5,15.666666666666666,-0.16666666666666607,-1.06
Wafer Potatos,Friday,Kg,2170.0,11.5,13.384615384615385,-1.884615384615385,-14.08
Potato,Wednesday,Kg,2166.0,11.4,18.461538461538463,-7.061538461538463,-38.25
Fresh Beans,Tuesday,Kg,2160.0,10.0,9.958333333333334,0.041666666666666075,0.42
Fresh Beans,Wednesday,Kg,2160.0,6.0,7.791666666666667,-1.791666666666667,-22.99
Broccoli,Monday,Kg,2145.0,2.75,2.9615384615384612,-0.21153846153846123,-7.14
Pista,Saturday,Kg,2128.0,1.0,0.5,0.5,100.0
Pista,Wednesday,Kg,2128.0,1.0,0.5,0.5,100.0
Veg Oyester Sauce,Friday,BTL,2124.996,12.0,12.0,0.0,0.0
Coriander Leaves,Sunday,Kg,2124.0,7.375,7.6923076923076925,-0.3173076923076925,-4.13
M Fold Tissue,Tuesday,PKT,2124.0,60.0,40.0,20.0,50.0
Spinach,Monday,Kg,2106.0,13.5,12.307692307692307,1.1923076923076934,9.69
Chicken Breast Bonless,Tuesday,Kg,2100.0,7.0,5.666666666666666,1.333333333333334,23.53
Coconut Big,Sunday,PCS,2100.0,20.0,14.555555555555555,5.444444444444445,37.4
Spinach,Saturday,Kg,2067.0,13.25,12.76923076923077,0.48076923076922995,3.77
Spinach,Thursday,Kg,2067.0,10.6,10.642857142857144,-0.04285714285714448,-0.4
Cucumber,Monday,Kg,2065.0,14.75,19.615384615384617,-4.865384615384617,-24.8
Corn Flour,Wednesday,Kg,2049.88,25.0,25.0,0.0,0.0
Broccoli,Wednesday,Kg,2047.5,2.1,1.7307692307692306,0.3692307692307695,21.33
Plastic Cont With Lid 750 Ml Rect,Thursday,PKT,2035.5,6.0,18.0,-12.0,-66.67
Coriander Leaves,Monday,Kg,2016.0,7.0,7.846153846153847,-0.8461538461538467,-10.78
Vanilla Md Ice Cream,Monday,LTR,2013.504,6.0,9.333333333333332,-3.333333333333332,-35.71
Vanilla Md Ice Cream,Tuesday,LTR,2013.504,8.0,8.8,-0.8000000000000007,-9.09
Cheesling,Sunday,TIN,2000.0,2.0,1.75,0.25,14.29
Cheesling,Thursday,TIN,2000.0,2.0,1.6666666666666667,0.33333333333333326,20.0
Cheesling,Tuesday,TIN,2000.0,2.0,1.5,0.5,33.33
Lemon Pickle,Saturday,Kg,2000.0,10.0,10.0,0.0,0.0
Haldi Powder,Saturday,Kg,1984.5,3.5,3.5,0.0,0.0
Apple,Tuesday,Kg,1980.0,2.75,1.946153846153846,0.8038461538461541,41.3
Coriander Leaves,Wednesday,Kg,1980.0,5.5,5.692307692307692,-0.19230769230769162,-3.38
French Fries 9mm,Sunday,PKT,1965.332,1.6666666666666667,2.0,-0.33333333333333326,-16.67
Corn Flour,Sunday,Kg,1960.0,25.0,5.0,20.0,400.0
Lemon,Tuesday,Kg,1950.0,6.5,6.461538461538462,0.038461538461538325,0.6
Pineapple Fruit,Monday,Kg,1944.0,5.3999999999999995,4.9,0.4999999999999991,10.2
Cheese Mozzarella,Thursday,Kg,1939.84,4.0,4.0,0.0,0.0
Paper Straw,Saturday,PKT,1911.0,16.666666666666668,20.0,-3.333333333333332,-16.67
Peanut Roasted,Monday,Kg,1900.0,10.0,13.333333333333334,-3.333333333333334,-25.0
Peanut Roasted,Tuesday,Kg,1900.0,10.0,10.0,0.0,0.0
Black Chana,Wednesday,Kg,1890.0,4.5,5.0,-0.5,-10.0
Jaggery Powder Sachet,Sunday,PKT,1890.0,30.0,26.666666666666668,3.333333333333332,12.5
Sugar 5 Gm,Tuesday,PKT,1890.0,10.0,10.5,-0.5,-4.76
Mixed Pickle 12 Gm,Monday,PCS,1881.6,600.0,500.0,100.0,20.0
White Compound,Monday,Kg,1870.005,5.0,5.0,0.0,0.0
Water Melon,Wednesday,Kg,1864.0,9.32,13.924999999999999,-4.604999999999999,-33.07
Fresh Mushroom,Tuesday,Kg,1861.6,2.6,2.6769230769230767,-0.07692307692307665,-2.87
Cling Foil,Saturday,ROLL,1840.8,4.0,3.75,0.25,6.67
Spinach,Sunday,Kg,1833.0,11.75,11.384615384615385,0.365384615384615,3.21
Coffee Cup Lid 250 Ml,Tuesday,PCS,1829.0,500.0,2000.0,-1500.0,-75.0
Tomato Puree,Wednesday,TIN,1827.84,24.0,14.0,10.0,71.43
Fresh Milk (tabela),Monday,LTR,1825.0,12.5,9.857142857142858,2.6428571428571423,26.81
Fresh Milk (tabela),Saturday,LTR,1825.0,12.5,9.285714285714285,3.2142857142857153,34.62
Fresh Milk (tabela),Sunday,LTR,1825.0,12.5,12.857142857142858,-0.35714285714285765,-2.78
Fresh Milk (tabela),Tuesday,LTR,1825.0,25.0,10.0,15.0,150.0
Tom Yum Cube,Wednesday,PKT,1814.4,12.0,12.0,0.0,0.0
Staff Veg,Wednesday,Kg,1800.0,15.0,15.0,0.0,0.0
Silver Container 450 Ml,Saturday,PKT,1790.8,2.3333333333333335,3.3333333333333335,-1.0,-30.0
Fresh Mushroom,Friday,Kg,1790.0,2.5,3.8307692307692305,-1.3307692307692305,-34.74
Tomato Puree,Thursday,TIN,1774.08,24.0,18.0,6.0,33.33
Peanut Roasted,Thursday,Kg,1747.2,4.0,8.857142857142856,-4.857142857142856,-54.84
Saffron (kesar),Saturday,PKT,1722.0,3.0,4.0,-1.0,-25.0
Water Melon,Saturday,Kg,1704.0,10.65,10.046153846153846,0.6038461538461544,6.01
Haldi Powder,Wednesday,Kg,1701.0,6.0,7.0,-1.0,-14.29
Silver Foil,Monday,PCS,1699.2,6.0,6.0,0.0,0.0
Silver Foil,Thursday,PCS,1699.2,6.0,5.5,0.5,9.09
Silver Foil,Tuesday,PCS,1699.2,6.0,6.0,0.0,0.0
Diet Coke,Friday,CAN,1680.0,48.0,48.0,0.0,0.0
Diet Coke,Thursday,CAN,1680.0,48.0,72.0,-24.0,-33.33
Milk Maid,Tuesday,TIN,1664.28,12.0,9.0,3.0,33.33
Milk Maid,Wednesday,TIN,1664.28,12.0,12.0,0.0,0.0
Milk Maid,Monday,TIN,1663.2,12.0,12.0,0.0,0.0
Broccoli,Friday,Kg,1657.5,2.125,3.153846153846154,-1.0288461538461542,-32.62
Thums Up,Monday,BTL,1650.002,72.0,96.0,-24.0,-25.0
Thums Up,Thursday,BTL,1650.002,72.0,72.0,0.0,0.0
Surmay Fish,Sunday,Kg,1650.0,3.0,3.933333333333333,-0.9333333333333331,-23.73
Water Melon,Tuesday,Kg,1648.0,13.733333333333333,9.258333333333333,4.475,48.33
Olive Oil Extra Virgin,Sunday,BTL,1635.754,2.0,1.0,1.0,100.0
Chicken Tandoori,Thursday,Kg,1632.0,1.7000000000000002,1.8571428571428572,-0.15714285714285703,-8.46
Olive Oil Extra Virgin,Wednesday,BTL,1622.67,2.0,2.0,0.0,0.0
Apple,Monday,Kg,1620.0,2.25,2.2916666666666665,-0.04166666666666652,-1.82
Green Peas,Thursday,PKT,1615.0,3.4,2.833333333333333,0.5666666666666669,20.0
Spinach,Wednesday,Kg,1599.0,8.2,8.692307692307693,-0.4923076923076941,-5.66
Caramel Syrup,Friday,BTL,1578.84,2.0,2.5,-0.5,-20.0
Coconut Syrup,Thursday,BTL,1578.84,2.0,1.0,1.0,100.0
Grenadine Syrup,Thursday,BTL,1578.84,2.0,3.0,-1.0,-33.33
Hazelnut Syrup,Friday,BTL,1578.84,2.0,7.0,-5.0,-71.43
Irish Syrup,Wednesday,BTL,1578.84,2.0,2.0,0.0,0.0
Triple Sec,Thursday,BTL,1578.84,2.0,3.0,-1.0,-33.33
A4 Size Paper,Tuesday,RIM,1570.0,4.5,5.0,-0.5,-10.0
Mixed Pickle 12 Gm,Tuesday,PCS,1568.0,500.0,600.0,-100.0,-16.67
Small Crab Whole,Thursday,Kg,1567.5,5.7,4.3,1.4000000000000004,32.56
Chicken Tandoori,Wednesday,Kg,1560.0,2.1666666666666665,2.625,-0.4583333333333335,-17.46
Aquafina Water 500 Ml,Thursday,BTL,1559.995,240.0,480.0,-240.0,-50.0
Silver Foil,Sunday,PCS,1557.6,6.0,5.166666666666667,0.833333333333333,16.13
Coriander Leaves,Tuesday,Kg,1548.0,5.375,4.3076923076923075,1.0673076923076925,24.78
Capsicum,Saturday,Kg,1534.0,7.375,4.615384615384616,2.759615384615384,59.79
Capsicum,Thursday,Kg,1534.0,5.9,5.071428571428571,0.8285714285714292,16.34
Red Cherry,Monday,TIN,1531.152,6.0,4.0,2.0,50.0
Red Cherry,Thursday,TIN,1531.152,6.0,5.0,1.0,20.0
Dark Compound,Monday,Kg,1529.99,5.0,10.0,-5.0,-50.0
Javantry,Thursday,Kg,1522.5,0.25,0.25,0.0,0.0
Tomato Ketchup,Wednesday,BTL,1519.459,18.0,21.0,-3.0,-14.29
Dalda,Wednesday,Kg,1500.0,3.3333333333333335,3.6,-0.2666666666666666,-7.41
Water Melon,Sunday,Kg,1488.0,9.3,12.461538461538462,-3.161538461538461,-25.37
Small Crab Whole,Tuesday,Kg,1485.0,5.4,6.3,-0.8999999999999995,-14.29
Coriander Leaves,Friday,Kg,1476.0,5.125,7.1923076923076925,-2.0673076923076925,-28.74
Pineapple Fruit,Tuesday,Kg,1464.0,6.1,4.199999999999999,1.9000000000000004,45.24
Potato Starch,Sunday,Kg,1453.806,6.0,5.0,1.0,20.0
Apple,Saturday,Kg,1440.0,2.0,2.0454545454545454,-0.045454545454545414,-2.22
Green Peas,Saturday,PKT,1425.0,2.5,3.5384615384615383,-1.0384615384615383,-29.35
Green Peas,Sunday,PKT,1425.0,3.75,3.2142857142857144,0.5357142857142856,16.67
Iceberg Lettuce,Monday,Kg,1425.0,2.375,1.375,1.0,72.73
M Fold Tissue,Friday,PKT,1416.0,40.0,54.285714285714285,-14.285714285714285,-26.32
M Fold Tissue,Monday,PKT,1416.0,40.0,80.0,-40.0,-50.0
M Fold Tissue,Sunday,PKT,1416.0,40.0,60.0,-20.0,-33.33
Malai Kulfi,Thursday,PCS,1416.0,20.0,25.0,-5.0,-20.0
Skull Cap,Sunday,PKT,1416.0,15.0,6.333333333333334,8.666666666666666,136.84
Toilet Roll,Sunday,PKT,1416.0,40.0,40.0,0.0,0.0
Water Melon,Friday,Kg,1412.0,8.825,11.245833333333334,-2.4208333333333343,-21.53
Water Melon,Thursday,Kg,1402.0,8.7625,9.75,-0.9875000000000007,-10.13
Coconut Big,Thursday,PCS,1400.0,20.0,17.166666666666668,2.833333333333332,16.5
Salt Tata,Wednesday,PKT,1400.0,50.0,50.0,0.0,0.0
Coconut Big,Monday,PCS,1365.0,13.0,15.0,-2.0,-13.33
Pineapple Fruit,Thursday,Kg,1356.0,5.65,6.71111111111111,-1.06111111111111,-15.81
Dolly Paper Big,Saturday,PKT,1332.8,8.5,10.0,-1.5,-15.0
Bell Papper Yellow,Sunday,Kg,1330.0,2.375,2.0384615384615383,0.3365384615384617,16.51
Bell Pepper Red,Sunday,Kg,1330.0,2.375,2.057692307692308,0.31730769230769207,15.42
Green Peas,Monday,PKT,1330.0,2.8,3.6250000000000004,-0.8250000000000006,-22.76
Khichiya Papad,Thursday,PKT,1330.0,5.0,2.0,3.0,150.0
Rich Whip Topping Cream,Wednesday,PKT,1325.091,3.0,2.0,1.0,50.0
Hrt Roll Big,Saturday,NOS,1321.6,4.0,6.0,-2.0,-33.33
Wonton Patta,Saturday,PKT,1320.0,4.0,3.8571428571428568,0.14285714285714324,3.7
Wonton Patta,Sunday,PKT,1320.0,4.0,3.5,0.5,14.29
Elaichi Bananas,Wednesday,Kg,1303.5,2.37,2.7875000000000005,-0.4175000000000004,-14.98
Capsicum,Sunday,Kg,1300.0,6.25,5.769230769230769,0.48076923076923084,8.33
Eggs,Sunday,PCS,1300.0,200.0,162.5,37.5,23.08
Ghee Nandani,Monday,Kg,1300.0,2.0,11.0,-9.0,-81.82
Carrots,Tuesday,Kg,1280.0,8.0,14.192307692307692,-6.192307692307692,-43.63
Almond,Saturday,Kg,1276.8000000000002,0.75,1.5,-0.75,-50.0
Almond,Thursday,Kg,1276.8000000000002,0.75,1.0833333333333335,-0.3333333333333335,-30.77
Olives Black Pitted Kitchen,Thursday,TIN,1272.388,1.5,1.0,0.5,50.0
Bell Papper Yellow,Saturday,Kg,1260.0,2.25,1.8653846153846156,0.38461538461538436,20.62
Bell Pepper Red,Saturday,Kg,1260.0,2.25,1.903846153846154,0.34615384615384603,18.18
Green Corn,Saturday,TIN,1258.32,24.0,24.0,0.0,0.0
Green Corn,Thursday,TIN,1258.32,24.0,24.0,0.0,0.0
Bamboo Shoots,Wednesday,TIN,1254.018,6.0,6.0,0.0,0.0
Spinach,Friday,Kg,1248.0,8.0,11.23076923076923,-3.23076923076923,-28.77
Chicken Supreme,Tuesday,Kg,1240.0,2.0,3.0,-1.0,-33.33
Potato Starch,Wednesday,Kg,1238.16,5.0,5.0,0.0,0.0
Green Peas,Tuesday,PKT,1235.0,3.25,3.0769230769230766,0.17307692307692335,5.63
Shiitake Mushroom,Tuesday,Kg,1233.68,1.0,1.0,0.0,0.0
Tooth Pick 500 Pc,Tuesday,PKT,1232.0,10.0,5.0,5.0,100.0
Cucumber,Tuesday,Kg,1225.0,8.75,17.07692307692308,-8.32692307692308,-48.76
Potato Starch,Friday,Kg,1214.3,10.0,6.2,3.8,61.29
