Type,Missing_Item
Food Item,HENDRICKS
Food Item,MONKEY 47
Food Item,CIROC
Food Item,GREY GOOSE
Food Item,TANQUERAY
Food Item,KETEL ONE
Food Item,THE BOTANIST
Food Item,Norm Inida
Food Item,BOMBAY SAPPHIRE
Food Item,GORDON'S
Food Item,BLUE RIBAND
Food Item,BELVEDERE
Food Item,BUDWEISER
Food Item,KINGFISHER ULTRA
Food Item,HEINEKEN
Food Item,Budweiser Magnum
Food Item,BACARDI BREEZER
Food Item,KINGFISHER
Food Item,HOEGAARDEN
Food Item,BIRA 91
Food Item,CARLSBERG
Food Item,CORONA
Food Item,KINGFISHER STRONG
Food Item,Heineken Silver
Food Item,Basmati Rice
Food Item,Bhatkal Biryani (VEG)
Food Item,Dum Pukht Biryani (MUTTON)
Food Item,Kolkata Biryani (CHICKEN)
Food Item,Dum Pukht Biryani (CHICKEN)
Food Item,Dum Pukht Biryani (VEG)
Food Item,Brown Rice
Food Item,Dum Pukht Biryani (Veg)
Food Item,Lamb Dum Pukht Biryani
Food Item,Lamb Hyderabadi Biryani
Food Item,Lamb Kolkata Biryani
Food Item,Lamb Bhatkal Biryani
Food Item,Chicken Dum Pukht Biryani
Food Item,Veg Dum Pukht Biryani
Food Item,Chicken Kolkata Biryani
Food Item,Bhatkal Biryani (CHICKEN)
Food Item,Chicken Hyderabadi Biryani
Food Item,Veg Bhatkal Biryani
Food Item,Kolkata Biryani (Veg)
Food Item,Veg Kolkata Biryani
Food Item,Veg Hyderabadi Biryani
Food Item,Hyderabadi Biryani (MUTTON)
Food Item,Kolkata Biryani (MUTTON)
Food Item,Hyderabadi Biryani (VEG)
Food Item,Hyderabadi Biryani (CHICKEN)
Food Item,Bhatkal Biryani (Chicken)
Food Item,SIGNATURE
Food Item,BLENDER'S PRIDE
Food Item,ANTIQUITY BLUE
Food Item,ROYAL CHALLENGE
Food Item,Indian Prawns (100 Gms)
Food Item,Indian Prawns (250 Gms)
Food Item,Indian Prawns (100 GMS)
Food Item,Indian Pompfret (500 GMS)
Food Item,Indian Pompfret (400 GMS)
Food Item,Indian Prawns (REGULAR)
Food Item,CHOCOLATE PASTRY
Food Item,BROWNIE SUNDAE
Food Item,SINGLE TALL CAKE SUNDAE
Food Item,APPLE PIE WITH HOT CUSTARD
Food Item,CREAM CARAMEL
Food Item,BAVARIAN CHOCOLATE CHEESE CAKE (EGG LESS)
Food Item,TIRAMISU
Food Item,Creme Bruleé
Food Item,BLUE BERRY CHEESE CAKE
Food Item,HOT FUDGE NUT SUNDAE
Food Item,CARAMEL CUSTARD(EGG LESS)
Food Item,CHOCOLATE FONDUE CAKE
Food Item,HOT PUDDING WITH BUTTER SCOTCH SAUCE
Food Item,CHOCOLATE MOUSSE
Food Item,COOKIES
Food Item,CAKE HALF KG
Food Item,ASSORTED COOKIES
Food Item,Chicken Kebabs (Chicken Angare)
Food Item,Chicken Kebabs (Chicken Malai)
Food Item,CHICKEN TIKKA (Pahadi)
Food Item,Mutton Kebabs (Gilafi Sheekh)
Food Item,Chicken Kebabs (Murg Lalwari)
Food Item,Chicken Kebabs (Patra Chicken)
Food Item,Chicken Kebabs (Chicken Reshmi)
Food Item,Chicken Kebabs (Murg Alishan)
Food Item,Tandoori Chicken (HALF)
Food Item,Chicken Kebabs (Murg Bemisal)
Food Item,CHICKEN TIKKA (Jamaican)
Food Item,Tandoori Platter (NON-VEG)
Food Item,Tandoori Chicken (Half)
Food Item,Chicken Kebabs (Murg Chatpata)
Food Item,Tandoori Platter (VEG)
Food Item,Chicken Kebabs (Chicken Sheekh)
Food Item,Tandoori Chicken (Full)
Food Item,Tandoori Chicken (FULL)
Food Item,Tandoori Platter (Non-Veg)
Food Item,Mutton Kebabs (Lucknowi Sheekh)
Food Item,Chicken Kebabs (Murg Shikara)
Food Item,Chicken Tikka (Jamaican)
Food Item,Chicken Tikka (Pahadi)
Food Item,Chicken Kebabs (Makhmali)
Food Item,Tandoori Platter (Veg)
Food Item,Mutton Kebabs (Boti E Gulshan)
Food Item,Doodhai Kabab
Food Item,Chicken Kebabs (Murg Nawabi Sheekh)
Food Item,Chicken Kebabs (Murg Rusali)
Food Item,Chicken Kebabs (Murg Grilled)
Food Item,Chicken Kebabs (Murg Dongri)
Food Item,Tandoori Platter (veg)
Food Item,Pompfret (600 GMS)
Food Item,Pompfret (400 GMS)
Food Item,Pompfret (500 GMS)
Food Item,Coastal Surmai (Rawa Fry)
Food Item,Rawas (Rawa Fry)
Food Item,Prawns (100 GMS)
Food Item,Pompfret (800 GMS)
Food Item,Lobster (800 GMS)
Food Item,Lobster (1100 GMS)
Food Item,Rawas (Tawa Fry)
Food Item,Crab (700 GMS)
Food Item,Prawns (150 GMS)
Food Item,Pompfret (700 GMS)
Food Item,Coastal Prawns (150 GMS)
Food Item,Tiger Prawns (300 GMS)
Food Item,Tiger Prawns (100 Gms)
Food Item,Tiger Prawns (200 Gms)
Food Item,Coastal Prawns (250 Gms)
Food Item,Lobster (600 GMS)
Food Item,Prawns (REGULAR)
Food Item,Coastal Surmai (Tawa Fry)
Food Item,Coastal Rawas (Koliwada)
Food Item,Coastal Rawas (Tawa Fry)
Food Item,Crab (500 GMS)
Food Item,Crab (1000 GMS)
Food Item,Coastal Prawns (100 GMS)
Food Item,Pompfret (1200 GMS)
Food Item,Large Pomfret (400 Gms)
Food Item,Crab (800 GMS)
Food Item,Crab (1000 Gms)
Food Item,Pompfret (1000 GMS)
Food Item,Lobster (500 GMS)
Food Item,Prawns  REG
Food Item,Coastal Surmai (Mangalorian Curry)
Food Item,Rawas (Gassi)
Food Item,Coastal Rawas (Gassi)
Food Item,Coastal Rawas (Mangalorian Curry)
Food Item,Tiger Prawns (200 GMS)
Food Item,Tiger Prawns (250 Gms)
Food Item,Prawns
Food Item,Crab (600 GMS)
Food Item,Rawas (Mangalorian Curry)
Food Item,Rawas (Goan Green Curry)
Food Item,Rawas (Koliwada)
Food Item,Rawas (Sukha In Mangalorian Masala)
Food Item,Surmai (Tawa Fry)
Food Item,Surmai (Chinese)
Food Item,Rawas (INDIAN)
Food Item,Crab (1200 GMS)
Food Item,Crab (600 Gms)
Food Item,Surmai (Koliwada)
Food Item,Coastal Surmai (Gassi)
Food Item,Seafood Clams
Food Item,SQUID (Chilly Fry)
Food Item,Large Pomfret (500 Gms)
Food Item,Malwani Bombil Fry
Food Item,Coastal Surmai (Koliwada)
Food Item,Surmai
Food Item,Rawas
Food Item,Rawas (Chinese)
Food Item,Rawas (Malwani Fry)
Food Item,Rawas (Tandoor)
Food Item,Coastal Rawas (Masala Fry)
Food Item,Lobster (400 GMS)
Food Item,Crab (900 GMS)
Food Item,Lobster (700 GMS)
Food Item,Squid (Chilly Fry)
Food Item,Coastal Squid (Sukha In Mangalorian Masala)
Food Item,Coastal Surmai (Mallipuram)
Food Item,Coastal Rawas (Rawa Fry)
Food Item,Coastal Surmai (Malwani Fry)
Food Item,Coastal Surmai (Masala Fry)
Food Item,Coastal Surmai (REGULAR)
Food Item,Coastal Rawas (Pullimunchi)
Food Item,Coastal Rawas (Mallipuram)
Food Item,Rawas (Mallipuram)
Food Item,Surmai (Gassi)
Food Item,Coastal Rawas (Goan Green Curry)
Food Item,Coastal Rawas (Malwani Fry)
Food Item,Coastal Rawas (Moheli)
Food Item,Coastal Surmai (Moheli)
Food Item,Lobster (900 GMS)
Food Item,Pompfret (900 GMS)
Food Item,Surmai (Tandoor)
Food Item,Squid
Food Item,Tiger Prawns (250 GMS)
Food Item,Dim Sum (CHICKEN)
Food Item,Dragon Roll (VEG)
Food Item,WONTON (CHICKEN)
Food Item,Dim Sum (VEG)
Food Item,Dragon Roll (Fish)
Food Item,WONTON (VEG)
Food Item,Dragon Roll (FISH)
Food Item,Nam Prick (CHICKEN)
Food Item,Paneer Babycorn In Red Chilli Flakes
Food Item,Dragon Roll (CHICKEN)
Food Item,Nam Prick (PANEER)
Food Item,Dragon Roll (Veg)
Food Item,Dim Sum (Chicken)
Food Item,Dim Sum (Veg)
Food Item,Babycorn In Sambal Sauce
Food Item,Water Chesnut In Sambal Sauce
Food Item,Steam Chicken With Star Fried Vegetables
Food Item,Babycorn In Red Chilli Flakes
Food Item,Chicken Drums In Choice Of Sauce
Food Item,Mushroom Babycorn In Red Chilli Flakes
Food Item,Dim Sum (Prawns)
Food Item,Dragon Roll (Prawns)
Food Item,Dragon Roll (Chicken)
Food Item,Chicken & Mushroom Cheesey Roll
Food Item,Paneer Sambal Sauce
Food Item,Wonton (Chicken)
Food Item,Wonton (Veg)
Food Item,Wonton (VEG)
Food Item,Wonton (CHICKEN)
Food Item,Wonton (Prawns)
Food Item,Wonton (PRAWNS)
Food Item,Dim Sum (PRAWNS)
Food Item,Dragon Roll (PRAWNS)
Food Item,Nam Prick (Mushroom)
Food Item,Wonton (veg)
Food Item,Dim Sum (Mixed Seafood)
Food Item,WONTON (Mixed Seafood)
Food Item,Dragon Roll (Mixed Seafood)
Food Item,Dim Sum (Crabmeat)
Food Item,WONTON (Crabmeat)
Food Item,Dragon Roll (Crabmeat)
Food Item,WONTON (FISH)
Food Item,WONTON (PRAWNS)
Food Item,"Brocoli,Babycorn Mushroom Sizzle Chilly"
Food Item,Nam Prick (VEG)
Food Item,Dim Sum (FISH)
Food Item,Dim Sum (PRAWNS)
Food Item,Dim Sum (CHICKEN)
Food Item,Dim Sum (VEG)
Food Item,Water Chesnut In Sambal Sauce
Food Item,WONTON (VEG)
Food Item,Dragon Roll (VEG)
Food Item,Dim Sum (Chicken)
Food Item,Dim Sum (Veg)
Food Item,Dragon Roll (Veg)
Food Item,Paneer Babycorn In Red Chilli Flakes
Food Item,Mushroom Babycorn In Red Chilli Flakes
Food Item,WONTON (Mixed Seafood)
Food Item,Dragon Roll (CHICKEN)
Food Item,Chicken & Mushroom Cheesey Roll
Food Item,Nam Prick (CHICKEN)
Food Item,Steam Chicken With Star Fried Vegetables
Food Item,Babycorn In Red Chilli Flakes
Food Item,Paneer Sambal Sauce
Food Item,Dragon Roll (PRAWNS)
Food Item,Nam Prick (Mushroom)
Food Item,WONTON (CHICKEN)
Food Item,Dim Sum (Crabmeat)
Food Item,WONTON (PRAWNS)
Food Item,Wonton (Prawns)
Food Item,Dragon Roll (Crabmeat)
Food Item,WONTON (FISH)
Food Item,Wonton (Veg)
Food Item,Dim Sum (veg)
Food Item,Juices Fresh
Food Item,Tandoori Pomfrate Regular  (400gms)
Food Item,Tandoori Crab (100 Gms)
Food Item,Tandoori Prawns (150 GMS)
Food Item,Tandoori Prawns (250 Gms)
Food Item,Tandoori Pompfret (100 Gms)
Food Item,Tandoori Lobster (100 Gms)
Food Item,Tandoori Pompfret (100 GMS)
Food Item,Tandoori Prawns (250 GMS)
Food Item,Tandoori Prawns  (100 Gms) (100 GMS)
Food Item,Tandoori Crab (500 GMS)
Food Item,Tandoori Pompfret (600 GMS)
Food Item,Tandoori Prawns (100 GMS)
Food Item,Tandoori Pompfret (500 Gms)
Food Item,Tandoori Pompfret (500 GMS)
Food Item,Tandoori Malwani Bombil Fry
Food Item,Tandoori Pompfret (700 GMS)
Food Item,Tandoori Prawns (REGULAR)
Food Item,Tandoori Prawns (200 GMS)
Food Item,Tandoori Prawns (Regular)
Food Item,Tandoori Pompfret (400 Gms)
Food Item,Brandy
Food Item,SIEMPRE SILVER
Food Item,JOSE COERO (GOLD)
Food Item,VS
Food Item,Santa Julia Malbec
Food Item,Zuccardi Malbec
Food Item,Mateus Rose By Glass
Food Item,Casillero Del Diablo Merlot
Food Item,Paul John Bold (BTL)
Food Item,BOMBAY SAPPHIRE (BTL)
Food Item,Chivas Regal Btl
Food Item,VAT 69 (BTL)
Food Item,BLACK LABEL (BTL)
Food Item,Old Monk Btl
Food Item,RED LABEL (BTL)
Food Item,Indri Btl
Food Item,ABSOLUT (BTL)
Food Item,TEACHER'S 50
Food Item,TEACHER'S
Food Item,BLACK & WHITE
Food Item,BALLANTINES
Food Item,BLACK DOG
Food Item,MONKEY SHOULDER
Food Item,DOUBLE BLACK
Food Item,CHIVAS REGAL
Food Item,BLACK LABEL
Food Item,100 PIPER
Food Item,CHIVAS REGAL -18 YEARS
Food Item,RED LABEL
Food Item,GOLD LABEL
Food Item,VAT 69
Food Item,Dewars
Food Item,J W Blonde
Food Item,J & B
Food Item,Double Black Bottle
Food Item,Macallan 12 Yrs
Food Item,BLUE LABEL
Food Item,White Lady (BOMBAY SAPPHIRE)
Food Item,Toddy (REGULAR)
Food Item,Long Island Ice Tea
Food Item,Whisky Sour (REGULAR)
Food Item,White Lady (MONKEY 47)
Food Item,Sangria (INDIAN)
Food Item,Old Fashioned (REGULAR)
Food Item,White Lady (HENDRICKS)
Food Item,Negroni (HENDRICKS)
Food Item,Old Fashioned (MONKEY SHOULDER)
Food Item,Old Fashioned (BLACK LABEL)
Food Item,Old Fashioned (JACK DANIEL'S)
Food Item,Whisky Sour (JACK DANIEL'S)
Food Item,Mojito
Food Item,Sex On The Beach (GREY GOOSE)
Food Item,Frozen Jungle Daiquiri
Food Item,Cosmopolitan (GREY GOOSE)
Food Item,Manhattan (JACK DANIEL'S)
Food Item,Bloody Mary (GREY GOOSE)
Food Item,Caprioska (GREY GOOSE)
Food Item,Screw Driver (CIROC)
Food Item,Caprioska (CIROC)
Food Item,Bloody Mary (REGULAR)
Food Item,Whisky Sour (CHIVAS REGAL)
Food Item,Screw Driver (GREY GOOSE)
Food Item,Caprioska (BELVEDERE)
Food Item,Whisky Sour (BLACK LABEL)
Food Item,Martini (GREY GOOSE)
Food Item,Heaven Melon (GREY GOOSE)
Food Item,Bloody Mary (CIROC)
Food Item,Bloody Mary (BELVEDERE)
Food Item,Blue Lagoon (GREY GOOSE)
Food Item,Sangria (IMPORTED)
Food Item,Double Bull Frog
Food Item,Negroni (REGULAR)
Food Item,Margarita (REGULAR)
Food Item,Blue Lagoon (REGULAR)
Food Item,Cosmopolitan (REGULAR)
Food Item,Toddy (XO)
Food Item,Toddy (VSOP)
Food Item,White Lady (TANQUERAY)
Food Item,Negroni (TANQUERAY)
Food Item,Gimlet (TANQUERAY)
Food Item,Whisky Sour (JIM BEAM)
Food Item,Whisky Sour (BLACK DOG)
Food Item,Caprioska (KETEL ONE)
Food Item,Martini (TANQUERAY)
Food Item,Bloody Mary (KETEL ONE)
Food Item,Caprioska (ABSOLUT)
Food Item,Screw Driver (ABSOLUT)
Food Item,Bloody Mary (ABSOLUT)
Food Item,Guava Delight (ABSOLUT)
Food Item,Sex On The Beach (ABSOLUT)
Food Item,Negroni (GORDON'S)
Food Item,Gimlet (BOMBAY SAPPHIRE)
Food Item,Negroni (BOMBAY SAPPHIRE)
Food Item,Margarita (SIEMPRE SILVER)
Food Item,Bull Frog
Food Item,Caprioska (REGULAR)
Food Item,Gimlet (REGULAR)
Food Item,Martini (THE BOTANIST)
Food Item,Negroni (THE BOTANIST)
Food Item,Whisky Sour (GLENFIDDICH - 12 YEARS)
Food Item,Planters Punch
Food Item,Pina Colada
Food Item,Martini (REGULAR)
Food Item,Screw Driver (REGULAR)
Food Item,Manhattan (REGULAR)
Food Item,Sunrise Tequila (REGULAR)
Food Item,Sex On The Beach (REGULAR)
Food Item,Side Car
Food Item,Between The Sheets
Food Item,Martini (ABSOLUT)
Food Item,Heaven Melon (ABSOLUT)
Food Item,Cosmopolitan (ABSOLUT)
Food Item,Blue Lagoon (ABSOLUT)
Food Item,Martini (BOMBAY SAPPHIRE)
Food Item,White Lady (GORDON'S)
Food Item,Chinese Crab (REGULAR)
Food Item,Chinese Squid (Chilly Fry)
Food Item,Chinese Prawns (100 GMS)
Food Item,Chinese Prawns (150 Gms)
Food Item,Chinese Prawns (150 GMS)
Food Item,Chinese Prawns (250 Gms)
Food Item,Chinese Pompfret (600 GMS)
Food Item,Chinese Prawns (Regular)
Food Item,Chinese Crab (600 GMS)
Food Item,Chinese Pompfret (800 GMS)
Food Item,Chinese Prawns (REGULAR)
Food Item,Chinese Pompfret (700 GMS)
Food Item,Chinese Pompfret (500 GMS)
Food Item,Chinese Pompfret (400 GMS)
Food Item,Chinese Squid (Hoisin Ginger Garlic Sauce)
Food Item,Subzi Lahori
Food Item,Subzi Sunheri
Food Item,ALOO JEERA
Food Item,Murgh Pudhina Masala
Food Item,Murgh -Ka-Salan
Food Item,Subzi Lahori
Food Item,Subzi Sunheri
Food Item,ALOO JEERA
Food Item,Murgh Pudhina Masala
Food Item,JACK DANIEL'S
Food Item,JACK DANIELS - HONEY
Food Item,JACK DANIELS - FIRE
Food Item,JIM BEAM
Food Item,KINGFISHER
Food Item,BUDWEISER
Food Item,KINGFISHER ULTRA
Food Item,Heineken Silver
Food Item,CARLSBERG
Food Item,HEINEKEN
Food Item,HOEGAARDEN
Food Item,Budweiser Magnum
Food Item,Kingfisher Ultra Max
Food Item,CORONA
Food Item,BIRA 91
Food Item,KINGFISHER STRONG
Food Item,BACARDI BREEZER
Food Item,ANTIQUITY BLUE
Food Item,BLENDER'S PRIDE
Food Item,SIGNATURE
Food Item,ROYAL CHALLENGE
Food Item,BAILEY'S IRISH CREAM
Food Item,JAGERMEISTER
Food Item,SIEMPRE SILVER
Food Item,JOSE COERO (SILVER)
Food Item,SAUZA (SILVER)
Food Item,JOSE COERO (GOLD)
Food Item,XO
Food Item,SIEMPRE REPOSADO
Food Item,VS
Food Item,VSOP
Food Item,Brandy
Food Item,SAUZA (GOLD)
Food Item,THAI CURRY GREEN (CHICKEN)
Food Item,THAI CURRY GREEN (VEG)
Food Item,Thai Curry Green (Veg)
Food Item,Lamb In Burnt Chilly Sauce
Food Item,"Tofu,Babycorn,Mushroom,Broccoli In Lemon & Paper Sauce"
Food Item,Thai Curry Green (VEG)
Food Item,Vegetables In Chilly Mustard Sauce/Green Garlic Sauce
Food Item,Thai Curry Green (Chicken)
Food Item,Thai Curry Red (Veg)
Food Item,Chicken Thai Curry Red (Chicken)
Food Item,Chicken Thai Curry Red (VEG)
Food Item,Vegetables In Chilly Mustard Sauce/green Garlic Sauce
Food Item,THAI CURRY RED (VEG)
Food Item,Thai Curry Green (CHICKEN)
Food Item,THAI CURRY RED (CHICKEN)
Food Item,Chicken Thai Curry Red (Veg)
Food Item,THAI CURRY RED (VEG)
Food Item,Lamb In Burnt Chilly Sauce
Food Item,THAI CURRY GREEN (VEG)
Food Item,Thai Curry Red (Veg)
Food Item,"Tofu,Babycorn,Mushroom,Broccoli In Lemon & Paper Sauce"
Food Item,Vegetables In Chilly Mustard Sauce/Green Garlic Sauce
Food Item,Thai Curry Red (veg)
Food Item,Thai Curry Green (Veg)
Food Item,THAI CURRY GREEN (CHICKEN)
Food Item,THAI CURRY RED (CHICKEN)
Food Item,Thai Curry Green (Chicken)
Food Item,Thai Curry Green (veg)
Food Item,Plain Curd
Food Item,ROASTED MASALA PAPAD
Food Item,ROASTED PAPAD
Food Item,Cheese Cherry Pineapple
Food Item,Martini (ABSOLUT)
Food Item,Pina Colada
Food Item,Frozen Jungle Daiquiri
Food Item,Martini (REGULAR)
Food Item,Bloody Mary (REGULAR)
Food Item,Mojito
Food Item,Sex On The Beach (GREY GOOSE)
Food Item,Old Fashioned (JACK DANIEL'S)
Food Item,Caprioska (GREY GOOSE)
Food Item,Whisky Sour (CHIVAS REGAL)
Food Item,Blue Lagoon (CIROC)
Food Item,Sangria (INDIAN)
Food Item,Old Fashioned (REGULAR)
Food Item,White Lady (REGULAR)
Food Item,Negroni (MONKEY 47)
Food Item,Double Bull Frog
Food Item,Sangria (IMPORTED)
Food Item,White Lady (HENDRICKS)
Food Item,Whisky Sour (BLACK LABEL)
Food Item,Cosmopolitan (GREY GOOSE)
Food Item,Bloody Mary (GREY GOOSE)
Food Item,Whisky Sour (JACK DANIEL'S)
Food Item,Caprioska (BELVEDERE)
Food Item,Screw Driver (GREY GOOSE)
Food Item,Martini (GREY GOOSE)
Food Item,Heaven Melon (GREY GOOSE)
Food Item,Manhattan (JACK DANIEL'S)
Food Item,Old Fashioned (CHIVAS REGAL)
Food Item,Cosmopolitan (ABSOLUT)
Food Item,Negroni (BOMBAY SAPPHIRE)
Food Item,Gimlet (BOMBAY SAPPHIRE)
Food Item,Sex On The Beach (ABSOLUT)
Food Item,Martini (BOMBAY SAPPHIRE)
Food Item,Blue Lagoon (ABSOLUT)
Food Item,Kamikaze (ABSOLUT)
Food Item,Negroni (TANQUERAY)
Food Item,Whisky Sour (GLENLIVET - 12 YEARS)
Food Item,Old Fashioned (GLENFIDDICH - 12 YEARS)
Food Item,Whisky Sour (GLENFIDDICH - 12 YEARS)
Food Item,Toddy (REGULAR)
Food Item,Toddy (VSOP)
Food Item,Bloody Mary (ABSOLUT)
Food Item,Caprioska (ABSOLUT)
Food Item,Negroni (HENDRICKS)
Food Item,Long Island Ice Tea
Food Item,Gimlet (HENDRICKS)
Food Item,Manhattan (REGULAR)
Food Item,Margarita (REGULAR)
Food Item,Cosmopolitan (REGULAR)
Food Item,Sunrise Tequila (REGULAR)
Food Item,Sex On The Beach (REGULAR)
Food Item,Toddy (XO)
Food Item,Between The Sheets
Food Item,Negroni (REGULAR)
Food Item,Blue Lagoon (REGULAR)
Food Item,Side Car
Food Item,Bull Frog
Food Item,Screw Driver (ABSOLUT)
Food Item,Guava Delight (ABSOLUT)
Food Item,Planters Punch
Food Item,Whisky Sour Jura
Food Item,Cranberry Classic
Food Item,Margarita (SIEMPRE SILVER)
Food Item,Sunrise Tequila (SIEMPRE SILVER)
Food Item,Guava Delight (GREY GOOSE)
Food Item,Whisky Sour (JAMESON)
Food Item,Whisky Sour (TEACHER'S 50)
Food Item,Caprioska (CIROC)
Food Item,Old Fashioned (BLACK LABEL)
Food Item,Blue Lagoon (GREY GOOSE)
Food Item,Caprioska (REGULAR)
Food Item,Bloody Mary (CIROC)
Food Item,Screw Driver (REGULAR)
Food Item,Sex On The Beach (BELVEDERE)
Food Item,Cosmopolitan (CIROC)
Food Item,Screw Driver (CIROC)
Food Item,Martini (CIROC)
Food Item,Cosmopolitan (BELVEDERE)
Food Item,Screw Driver (BELVEDERE)
Food Item,Martini (HENDRICKS)
Food Item,Whisky Sour (MONKEY SHOULDER)
Food Item,Whisky Sour (REGULAR)
